-5,-4,-6,1,-6,-6,-4,-11
2,-1,15,2,1,0,2,17
-7,2,16,5,2,1,-3,-19
-2,2,-13,-3,-2,-2,0,4
3,-6,-16,-8,1,2,0,1
2,4,-6,-9,-4,-2,1,8
-3,-4,8,1,1,2,2,1
-3,1,-15,2,3,3,-1,-6
-5,2,23,6,-1,-3,-6,-10
1,-4,-19,-12,-4,-2,2,1
0,-2,13,0,1,1,2,7
-3,2,7,4,-1,-2,-6,-5
0,-12,-27,-2,0,1,3,5
-4,6,11,6,-2,-3,-2,-6
1,2,2,0,-1,-5,-1,3
-3,-6,-6,0,2,3,-3,-13
1,-4,1,-1,-3,1,2,3
-6,-1,7,-8,-3,-3,-2,-4
0,4,35,9,0,-1,2,1
7,-6,-19,-9,-6,-3,7,14
-5,7,-1,-3,2,2,-2,-9
-4,-9,-18,-5,0,1,-1,-6
0,5,-8,-4,-4,-4,-2,0
-3,-4,9,-1,0,-2,-3,0
-2,-8,-20,-4,0,-1,-1,-2
2,7,21,5,-1,0,3,14
-3,0,-4,0,1,3,-5,-24
0,0,-2,0,-1,-1,3,7
2,-1,-7,-2,-2,-4,-5,-6
-4,-2,4,3,-2,-2,-3,1
3,0,-3,-5,-3,-1,0,5
0,6,24,5,3,2,0,-5
-8,-9,7,1,-1,-2,-3,-6
-1,-5,-17,-6,-3,0,1,-2
1,5,21,-1,0,0,1,7
-3,-11,-24,-13,-4,-1,-1,-5
1,7,8,9,0,-2,0,2
6,-1,-10,0,-1,3,1,8
-6,2,13,-1,-4,-6,-3,-2
-1,-10,-27,0,-1,-1,-2,1
-7,-4,-30,-1,-6,-8,-6,-10
-1,-8,-67,-17,0,3,0,-5
8,-1,2,2,-1,1,4,14
-6,0,-9,-9,-3,-1,-3,-10
4,-3,6,-2,0,0,-3,8
-1,0,-23,2,-1,-2,-2,-9
-2,-2,-16,3,4,2,-1,3
-1,0,1,3,-2,-4,-3,3
-3,-3,-13,-7,-1,1,4,9
-6,4,4,-2,-1,-2,-5,-11
4,2,13,3,-1,-2,-3,2
1,6,26,5,1,1,3,-2
5,1,-14,-2,-2,-1,0,4
3,9,15,-10,-6,-4,-2,0
-1,-7,38,-5,2,5,4,8
-4,-7,-47,-7,2,1,-4,-18
6,13,-18,8,1,0,1,1
-7,-5,26,1,-4,-5,-3,-3
-3,-3,13,-2,3,5,1,-3
-1,17,6,-1,-6,-10,-8,-3
-1,0,-9,-6,2,4,2,1
6,-1,13,4,3,3,1,1
3,-8,-30,-10,-5,-2,-3,0
-8,-17,-57,-2,-3,-4,-4,-4
2,-2,9,2,-1,-1,4,12
-6,7,12,3,3,0,1,-12
3,5,13,2,-7,-10,-10,-6
6,6,17,5,3,4,4,7
-3,-3,16,-5,-4,-1,-4,-6
-1,-6,-15,-3,1,-1,2,8
1,7,3,-2,-1,-1,2,-4
-8,-10,1,2,1,0,-5,-11
-7,-5,-1,-6,-3,-8,-6,-6
-5,-2,0,1,1,4,-2,-18
-2,-5,-33,-5,-3,-5,-1,11
-2,13,43,8,-2,-3,-2,-9
0,1,43,3,2,-1,0,-4
-3,-8,-16,-2,-2,-2,-2,2
-6,1,-13,-1,1,2,3,-6
-12,-12,-6,-9,-7,-10,-8,-12
7,12,28,4,5,11,4,9
0,4,18,4,-1,-1,-5,-4
-15,-2,16,7,-7,-12,-10,-11
6,2,-3,1,12,13,12,21
-13,-10,-4,2,-1,-1,-2,-19
8,-2,5,-3,-4,-7,-7,28
-12,-5,-24,-3,2,15,-10,-40
2,2,26,3,-11,-10,10,12
-12,-2,-20,1,3,6,-4,8
-14,-7,-18,-9,-1,-14,-13,-7
26,-4,1,9,10,2,37,52
-49,-1,8,9,0,6,-16,-15
26,-11,-9,-6,-5,3,12,-25
-7,10,-5,-2,-1,-2,-22,-31
-28,-7,7,2,4,4,35,7
58,22,13,1,1,-40,-3,52
-13,-12,4,-1,-11,12,38,9
-9,-8,-11,15,17,-3,-49,-33
-6,-6,-11,-7,-5,-3,-23,-23
-9,-11,-15,-16,-14,8,-34,-4
16,12,5,7,-6,-24,34,-25
2,15,21,11,12,15,-18,6
22,14,12,5,-6,-16,10,4
-23,-6,-4,1,8,-9,-15,9
-11,2,1,5,5,3,-15,6
-4,-11,-1,-6,-3,41,52,-3
-13,-4,-14,-6,-6,-25,-38,-14
16,3,-5,-8,3,23,-20,-17
-15,-5,1,1,-3,-34,-13,5
4,-1,-7,-11,-4,-15,-11,3
-2,-6,-6,2,-4,17,-6,2
17,0,0,2,0,23,72,18
-7,-1,-4,-9,-4,4,-26,-8
16,7,1,-11,-9,-14,13,14
4,-4,0,5,3,-8,-31,-7
-4,-11,-9,-7,-7,2,4,-14
-2,-1,-5,-2,1,-4,-11,3
0,-4,1,0,-8,-11,4,8
